Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2014/4/29,621734,81574,101473,40306,143693,139964,118660,28706,28249,46705,24563,123167,578625,589816,43109,31918
2014/5/6,651381,84308,107349,36309,152663,145326,131215,28320,33698,49979,25728,126667,607502,619750,43880,31631
2014/5/13,641801,83634,113354,41905,141676,136511,125612,31283,28242,50395,25647,130660,596959,607374,44842,34427
2014/5/20,637142,80208,109284,36397,134170,144453,121639,31281,33853,50717,23993,127068,594335,604103,42807,33039
2014/5/27,610131,67224,83162,42023,124159,137825,122275,53882,31919,49798,25481,111359,562422,567787,47709,42344
2014/6/3,604437,68110,81837,43949,110160,137320,121428,70364,31292,49117,23286,112331,563549,566591,40888,37846
2014/6/10,598946,64950,77246,44196,109886,138174,121243,69963,31598,48859,24165,109676,558698,560710,40248,38236
2014/6/17,601503,66384,82225,43095,121920,138475,122914,56342,32023,50706,22624,109271,562868,562880,38635,38624
2014/6/24,639293,64842,103473,39352,157367,133503,145826,31470,35723,57305,25421,116668,593218,603625,46074,35668
2014/7/1,632177,57461,111173,39326,168748,127157,159117,22188,30653,58972,27597,111703,584391,599220,47786,32957
2014/7/8,638504,53903,112164,42677,170883,127523,163897,19625,32034,54125,28306,115629,589788,606164,48717,32340
2014/7/15,639522,56133,110446,40025,161301,131489,157908,25937,32336,54241,26040,120995,593127,608543,46395,30979
2014/7/22,643364,55796,112943,42046,166168,126249,157232,21112,35264,55421,24845,125116,597125,611698,46239,31666
2014/7/29,575402,51671,106963,44474,153899,108467,148193,26101,24951,55162,22481,101406,534323,544267,41079,31135
2014/8/5,563036,48975,95989,44084,141331,110599,136741,32630,28530,52031,22268,100598,521559,531946,41477,31090
2014/8/12,581490,47473,103879,40214,162757,107235,154516,20808,27971,54698,22447,104019,536126,549115,45364,32375
2014/8/19,574443,48184,102279,44556,147909,110193,141358,24442,27524,56472,20570,101973,530260,534890,44183,39553
2014/8/26,552454,46660,88415,47151,141511,108110,129611,36877,27360,54546,21649,95321,508759,519242,43695,33212
2014/9/2,568103,48958,86434,51234,127052,113156,127078,53047,29890,54172,22378,99371,523859,531329,44244,36774
2014/9/9,600722,56007,93022,53311,121709,118791,129921,58545,35179,55426,24518,108904,557538,560667,43184,40055
2014/9/16,625164,58279,88836,50230,107187,133168,124959,69243,37669,52266,25321,123168,579740,584592,45424,40572
2014/9/23,644637,63453,90136,54054,99584,137960,122035,77770,38695,52467,25977,133395,602059,603517,42578,41121
2014/9/30,610095,58230,88267,58074,91906,127652,119005,81262,33631,53201,23862,120035,569829,566615,40266,43480
2014/10/7,619593,63240,91725,50694,86666,134955,118339,81064,33793,54323,24630,124431,579774,577264,39818,42329
