,close,high,low,ma10,ma20,ma5,ma5-ma20,ma60,open,vol
2011-09-28,817.52,838.33,814.34,851.74,871.86,834.83,-4.2472415296,904.2,834.03,2458248.0
2011-09-29,791.89,813.26,791.05,843.35,865.38,822.63,-4.94002634681,902.49,813.26,2625983.0
2011-09-30,791.13,796.48,781.79,834.97,859.05,812.16,-5.45835515977,900.68,792.76,1950389.0
2011-10-10,790.04,796.86,786.84,828.5,853.05,804.29,-5.71596037747,898.93,792.97,1621991.0
2011-10-11,786.15,812.45,778.05,821.44,848.17,795.34,-6.22870415129,896.98,806.7,2572308.0
2011-10-12,816.14,817.02,773.93,814.95,845.24,795.07,-5.93559225782,895.72,783.43,3644532.0
2011-10-13,833.02,835.63,814.63,812.96,841.91,803.29,-4.58718865437,894.39,816.53,4197492.0
2011-10-14,830.2,833.03,819.98,811.63,838.82,811.11,-3.30345008464,892.68,830.48,3330833.0
2011-10-17,832.29,839.26,826.81,811.93,836.36,819.56,-2.00870438567,890.7,832.86,3697721.0
2011-10-18,806.6,828.18,806.0,809.5,833.59,823.65,-1.19243273072,888.37,826.53,3930548.0
2011-10-19,804.44,813.95,798.8,808.19,829.97,821.31,-1.04341120763,886.33,807.21,3006662.0
2011-10-20,778.95,801.03,771.15,806.89,825.12,810.49,-1.77307543145,883.79,801.03,3368182.0
2011-10-21,763.3,779.46,760.16,804.11,819.54,797.11,-2.73690118847,881.26,777.03,2590864.0
2011-10-24,772.41,772.96,741.33,802.35,815.43,785.14,-3.71460456446,878.73,761.43,3335606.0
2011-10-25,797.86,799.1,769.29,803.52,812.48,783.39,-3.58039582513,877.25,770.84,4508874.0
2011-10-26,811.13,820.81,791.0,803.02,808.99,784.73,-2.99880097405,875.89,794.3,6050439.0
2011-10-27,810.92,821.29,807.12,800.81,806.88,791.13,-1.95196311719,874.15,810.72,5078367.0
2011-10-28,833.42,833.73,813.93,801.13,806.38,805.15,-0.152533544979,872.71,820.42,5755198.0
2011-10-31,852.8,852.8,831.5,803.18,807.55,821.22,1.69277444121,871.71,834.3,6252855.0
2011-11-01,853.36,855.35,840.06,807.86,808.68,832.33,2.92451896918,870.47,843.8,6301051.0
2011-11-02,881.05,881.05,833.9,815.52,811.85,846.31,4.24462647041,869.62,837.07,8516045.0
2011-11-03,877.66,898.31,877.66,825.39,816.14,859.66,5.33241845762,868.49,885.87,9918096.0
2011-11-04,882.25,887.67,876.44,837.29,820.7,869.42,5.93639575972,867.57,881.62,6660408.0
2011-11-07,878.76,889.34,876.54,847.92,825.14,874.62,5.99655815983,866.9,880.15,5225319.0
2011-11-08,862.36,879.9,861.38,854.37,828.95,876.41,5.72531515773,866.64,878.45,5445643.0
2011-11-09,891.12,891.12,860.75,862.37,832.7,878.43,5.49177374805,866.85,866.91,6883980.0
2011-11-10,895.27,911.73,878.99,870.81,835.81,881.95,5.52039339084,866.91,881.69,10350637.0
2011-11-11,891.19,901.8,885.59,876.58,838.86,883.74,5.35011801731,866.5,893.72,7667414.0
2011-11-14,915.98,917.27,899.11,882.9,843.04,891.18,5.71028658189,866.33,899.11,8111971.0
2011-11-15,920.97,922.81,912.81,889.66,848.76,902.91,6.37989537678,865.97,916.62,7390361.0
2011-11-16,893.51,922.07,888.88,890.91,853.21,903.39,5.88131878436,865.31,921.3,7071703.0
2011-11-17,898.34,911.9,890.82,892.97,859.18,904.0,5.21660187621,864.68,893.79,6529090.0
2011-11-18,869.19,892.75,868.26,891.67,864.48,899.6,4.06255783824,863.91,892.63,6104312.0
2011-11-21,863.13,868.31,849.56,890.11,869.01,889.03,2.30377095776,863.09,866.98,4658928.0
2011-11-22,868.43,868.48,852.04,890.72,872.54,878.53,0.686501478442,862.38,856.2,4089330.0
2011-11-23,864.81,874.3,863.06,888.08,875.23,872.78,-0.279926419341,861.19,868.78,4401077.0
2011-11-24,868.14,874.92,852.0,885.37,878.09,866.74,-1.29257820952,859.99,856.67,4339727.0
2011-11-25,863.5,874.48,860.63,882.6,879.59,865.6,-1.59051376209,858.66,866.99,4199906.0
2011-11-28,866.84,871.28,858.46,877.69,880.29,866.34,-1.58470504038,857.23,864.38,3976936.0
2011-11-29,880.31,880.31,866.74,873.62,881.64,868.72,-1.46545075087,856.0,872.2,4643474.0
2011-11-30,838.11,878.68,824.95,868.08,879.49,863.38,-1.83174339674,854.4,878.68,5836484.0
2011-12-01,852.87,872.34,852.87,863.53,878.25,860.33,-2.04042129234,853.26,861.55,5721672.0
2011-12-02,829.18,849.18,825.08,859.53,875.6,853.46,-2.52855185016,851.78,849.18,4038192.0
