      date,    open,    high,    low,    close,         vol,  ma5  ,  ma10  ,  ma20   ,   ma60  ,ma5-ma20
 2011/08/08,1832.66,1848.51,1769.99,1794.43,28642386,1865.45,1887.88,1933.69,1967.17,-3.529004132
 2011/08/09,1752.74,1810.86,1741.1,1801.82,28976200,1846.95,1876.63,1925.36,1963.54,-4.072485146
 2011/08/10,1832.09,1837.42,1810.45,1814.67,22275996,1831.3,1866.22,1916.19,1959.89,-4.430145236
 2011/08/11,1789.96,1843.14,1789.23,1840.29,20981100,1820.25,1860.22,1907.91,1956.33,-4.594556347
 2011/08/12,1848.13,1850,1833.89,1838.16,16870138,1817.9,1853.22,1899.22,1952.87,-4.281757774
 2011/08/15,1842.13,1872.79,1831.98,1872.39,18818716,1833.45,1849.45,1892.69,1949.86,-3.129936757
 2011/08/16,1873,1886.23,1856.97,1862.89,18205040,1845.7,1846.32,1886.43,1947.7,-2.159104764
 2011/08/17,1863.17,1873.35,1855.28,1858.3,12839831,1854.4,1842.85,1880.15,1945.41,-1.369571577
 2011/08/18,1861.29,1863.29,1822.19,1824.86,13761736,1851.3,1835.78,1873.32,1942.97,-1.175453206
 2011/08/19,1798.81,1811.87,1792.46,1806.28,16766318,1844.95,1831.43,1865.41,1940.18,-1.096809817
 2011/08/22,1808.06,1820.52,1782.97,1790.14,12387369,1828.5,1830.97,1859.43,1937.06,-1.663412981
 2011/08/23,1797.19,1821.44,1788.08,1821.19,12680405,1820.15,1832.93,1854.78,1934.4,-1.867067792
 2011/08/24,1828.04,1832.24,1802.45,1806.79,12932481,1809.85,1832.13,1849.18,1931.01,-2.126888675
 2011/08/25,1813.09,1878.68,1811.36,1878.48,33100518,1820.6,1835.95,1848.09,1928.94,-1.48748167
 2011/08/26,1867.32,1879.61,1858.33,1876.33,17999116,1834.55,1839.75,1846.49,1927.49,-0.646632259
 2011/08/29,1856.74,1856.74,1833.61,1836.88,17713796,1843.95,1836.22,1842.84,1925.19,0.060233118
 2011/08/30,1850.99,1871.64,1831.44,1835.07,16731186,1846.7,1833.43,1839.88,1922.7,0.370676348
