date,close-5y,close-10y,10y-5y,5f-10f,5y-close-open,10y-close-open
2016-05-06,99.955,98.465,0.1773,1.49,0.0,0.065
2016-05-09,100.285,99.17,0.1923,1.115,0.275,0.585
2016-05-10,100.335,99.24,0.2049,1.095,-0.165,-0.045
2016-05-11,100.29,99.195,0.1938,1.095,-0.00999999999999,-0.065
2016-05-12,100.45,99.49,0.1957,0.96,0.13,0.205
2016-05-13,100.355,99.37,0.2027,0.985,-0.115,-0.15
2016-05-16,100.24,98.99,0.2155,1.25,-0.115,-0.36
2016-05-17,100.23,99.01,0.2099,1.22,-0.02,0.00500000000001
2016-05-18,100.08,98.795,0.1889,1.285,-0.12,-0.14
2016-05-19,100.125,98.845,0.1937,1.28,0.125,0.145
2016-05-20,100.245,99.095,0.2092,1.15,0.11,0.2
2016-05-23,100.215,99.075,0.2029,1.14,-0.00999999999999,-0.015
2016-05-24,100.355,99.29,0.1879,1.065,0.115,0.185
2016-05-25,100.355,99.27,0.1948,1.085,-0.02,-0.035
2016-05-26,100.265,99.14,0.183,1.125,-0.095,-0.12
2016-05-27,100.22,99.07,0.1858,1.15,-0.01,-0.01
2016-05-30,100.165,98.93,0.2215,1.235,-0.035,-0.19
2016-05-31,100.32,99.145,0.2338,1.175,0.15,0.195
2016-06-01,100.315,99.075,0.2433,1.24,0.035,-0.015
2016-06-02,100.22,98.945,0.2478,1.275,-0.07,-0.1
2016-06-03,100.27,98.985,0.2319,1.285,0.06,0.085
2016-06-06,100.33,99.04,0.2331,1.29,0.04,-0.005
2016-06-07,100.27,98.955,0.2256,1.315,-0.045,-0.085
2016-06-08,100.19,98.94,0.1916,1.25,-0.08,-0.02
2016-06-13,100.34,99.19,0.1839,1.15,0.105,0.19
2016-06-14,100.475,99.41,0.1836,1.065,0.14,0.155
2016-06-15,100.48,99.485,0.186,0.995,-0.02,0.01
2016-06-16,100.675,99.795,0.1843,0.88,0.17,0.28
2016-06-17,100.64,99.73,0.1768,0.91,-0.035,-0.025
2016-06-20,100.635,99.715,0.1776,0.92,0.04,0.035
2016-06-21,100.725,99.835,0.167,0.89,0.13,0.175
2016-06-22,100.715,99.88,0.1797,0.835,-0.00999999999999,0.11
2016-06-23,100.72,99.865,0.181,0.855,0.0,-0.015
2016-06-24,100.885,100.165,0.1729,0.72,0.13,0.215
2016-06-27,101.055,100.45,0.1584,0.605,0.145,0.26
2016-06-28,100.86,100.14,0.1754,0.72,-0.24,-0.335
2016-06-29,100.865,100.105,0.1649,0.76,0.065,0.015
2016-06-30,101.01,100.39,0.1546,0.62,0.125,0.2
2016-07-01,101.155,100.63,0.1482,0.525,0.11,0.175
2016-07-04,101.035,100.36,0.1599,0.675,-0.14,-0.295
2016-07-05,100.99,100.265,0.1685,0.725,0.04,-0.01
2016-07-06,101.055,100.43,0.1696,0.625,0.00500000000001,0.065
2016-07-07,101.215,100.69,0.1587,0.525,0.1,0.14
2016-07-08,101.26,100.695,0.1523,0.565,0.015,-0.035
2016-07-11,101.115,100.495,0.1682,0.62,-0.08,-0.09
2016-07-12,101.01,100.315,0.1563,0.695,-0.105,-0.135
2016-07-13,100.965,100.25,0.148,0.715,0.015,0.0
2016-07-14,100.985,100.32,0.1453,0.665,0.0,0.00999999999999
2016-07-15,101.13,100.55,0.1453,0.58,0.15,0.245
2016-07-18,101.115,100.545,0.1496,0.57,-0.035,0.02
2016-07-19,101.16,100.6,0.1637,0.56,0.06,0.055
2016-07-20,101.34,100.895,0.1786,0.445,0.13,0.195
2016-07-21,101.395,100.955,0.1794,0.44,-0.015,-0.07
2016-07-22,101.4,100.96,0.1942,0.44,0.04,0.115
2016-07-25,101.315,100.795,0.2151,0.52,-0.07,-0.105
2016-07-26,101.435,100.99,0.1994,0.445,0.135,0.235
2016-07-27,101.385,100.9,0.2146,0.485,-0.045,-0.115
2016-07-28,101.525,101.165,0.2042,0.36,0.1,0.165
2016-07-29,101.475,101.065,0.1941,0.41,-0.055,-0.11
2016-08-01,101.41,100.935,0.1999,0.475,-0.075,-0.155
2016-08-02,101.515,101.075,0.1952,0.44,0.1,0.145
2016-08-03,101.565,101.185,0.1925,0.38,0.09,0.11
2016-08-04,101.58,101.21,0.1898,0.37,0.035,0.03
2016-08-05,101.725,101.465,0.1987,0.26,0.115,0.215
2016-08-08,101.73,101.475,0.1919,0.255,0.035,0.08
2016-08-09,101.795,101.2,0.1819,0.595,0.04,0.095
2016-08-10,101.8,101.17,0.1947,0.63,-0.05,-0.18
2016-08-11,101.585,101.315,0.2003,0.27,0.08,0.145
2016-08-12,101.705,101.55,0.1949,0.155,0.125,0.235
2016-08-15,101.83,101.71,0.1745,0.12,0.095,0.0
2016-08-16,101.715,101.48,0.1888,0.235,-0.11,-0.22
2016-08-17,101.695,101.41,0.1927,0.285,0.0,-0.01
2016-08-18,101.7,101.435,0.1742,0.265,-0.04,-0.065
2016-08-19,101.545,101.185,0.1737,0.36,-0.12,-0.195
2016-08-22,101.625,101.375,0.1722,0.25,0.16,0.265
2016-08-23,101.4,100.985,0.1756,0.415,-0.17,-0.335
2016-08-24,101.375,100.97,0.1706,0.405,0.105,0.11
