date,open,high,low,close
 2017/01/03,97.395,97.555,97.115,97.39
 2017/01/04,97.27,97.65,97.035,97.23
 2017/01/05,97.175,97.48,96.885,97.45
 2017/01/06,97.55,97.69,97.135,97.24
 2017/01/09,97.205,97.68,97.09,97.635
 2017/01/10,97.84,97.89,97.54,97.59
 2017/01/11,97.48,97.57,97.21,97.27
 2017/01/12,97.36,97.66,97.35,97.355
 2017/01/13,97.39,97.61,97.335,97.495
 2017/01/16,97.48,97.72,96.85,96.86
 2017/01/17,96.5,96.83,96.485,96.6
 2017/01/18,95.29,95.57,95.17,95.24
 2017/01/19,95.085,95.6,94.965,95.495
 2017/01/20,95.47,95.98,95.41,95.77
 2017/01/23,95.79,95.84,95.6,95.705
 2017/01/24,95.75,95.98,94.8,94.895
 2017/01/25,94.565,94.765,94.29,94.6
 2017/01/26,94.56,94.67,94.17,94.27
 2017/02/03,94.27,94.52,92.96,93.495
 2017/02/06,93.32,93.765,93.305,93.365
 2017/02/07,93.2,93.805,93.125,93.68
 2017/02/08,93.73,94.18,93.725,94.18
 2017/02/09,94.37,94.635,94.21,94.55
 2017/02/10,94.49,94.52,94.265,94.355
 2017/02/13,94.315,94.79,94.22,94.75
 2017/02/14,94.69,94.9,94.315,94.495
 2017/02/15,94.335,94.45,94.18,94.305
 2017/02/16,94.34,95.145,94.305,95.145
 2017/02/17,95.025,95.375,94.92,95.12
 2017/02/20,95.295,95.66,95.215,95.625
 2017/02/21,95.55,95.55,94.975,95.06
 2017/02/22,94.805,95.67,94.805,95.62
 2017/02/23,95.6,95.93,95.42,95.61
 2017/02/24,95.61,95.96,95.38,95.655
 2017/02/27,95.76,96.115,95.5,95.565
 2017/02/28,95.5,95.915,95.45,95.83
 2017/03/01,95.7,95.74,95.15,95.175
 2017/03/02,95.095,95.3,94.96,95.115
 2017/03/03,95.115,95.32,94.935,94.975
 2017/03/06,95,95.085,94.86,94.935
 2017/03/07,94.91,95.195,94.865,95.155
 2017/03/08,95.16,95.235,94.635,94.675
 2017/03/09,94.61,95.04,94.485,94.55
 2017/03/10,94.505,94.75,94.47,94.685
