date,close-5y,close-10y,10y-5y,5f-10f
2016/6/27,101.055,100.45,0.1584,0.605
2016/6/28,100.86,100.14,0.1754,0.72
2016/6/29,100.865,100.105,0.1649,0.76
2016/6/30,101.01,100.39,0.1546,0.62
2016/7/1,101.155,100.63,0.1482,0.525
2016/7/4,101.035,100.36,0.1599,0.675
2016/7/5,100.99,100.265,0.1685,0.725
2016/7/6,101.055,100.43,0.1696,0.625
2016/7/7,101.215,100.69,0.1587,0.525
2016/7/8,101.26,100.695,0.1523,0.565
2016/7/11,101.115,100.495,0.1682,0.62
2016/7/12,101.01,100.315,0.1563,0.695
2016/7/13,100.965,100.25,0.148,0.715
2016/7/14,100.985,100.32,0.1453,0.665
2016/7/15,101.13,100.55,0.1453,0.58
2016/7/18,101.115,100.545,0.1496,0.57
2016/7/19,101.16,100.6,0.1637,0.56
2016/7/20,101.34,100.895,0.1786,0.445
2016/7/21,101.395,100.955,0.1794,0.44
2016/7/22,101.4,100.96,0.1942,0.44
2016/7/25,101.315,100.795,0.2151,0.52
2016/7/26,101.435,100.99,0.1994,0.445
2016/7/27,101.385,100.9,0.2146,0.485
2016/7/28,101.525,101.165,0.2042,0.36
2016/7/29,101.475,101.065,0.1941,0.41
2016/8/1,101.41,100.935,0.1999,0.475
2016/8/2,101.515,101.075,0.1952,0.44
2016/8/3,101.565,101.185,0.1925,0.38
2016/8/4,101.58,101.21,0.1898,0.37
2016/8/5,101.725,101.465,0.1987,0.26
2016/8/8,101.73,101.475,0.1919,0.255
2016/8/9,101.795,101.2,0.1819,0.595
2016/8/10,101.8,101.17,0.1947,0.63
2016/8/11,101.585,101.315,0.2003,0.27
2016/8/12,101.705,101.55,0.1949,0.155
2016/8/15,101.83,101.71,0.1745,0.12
2016/8/16,101.715,101.48,0.1888,0.235
2016/8/17,101.695,101.41,0.1927,0.285
2016/8/18,101.7,101.435,0.1742,0.265
2016/8/19,101.545,101.185,0.1737,0.36
2016/8/22,101.625,101.375,0.1722,0.25
2016/8/23,101.4,100.985,0.1756,0.415
2016/8/24,101.375,100.97,0.1706,0.405
2016/8/25,101.345,100.915,0.1712,0.43
2016/8/26,101.535,101.155,0.1492,0.38
2016/8/29,101.44,100.955,0.1453,0.485
2016/8/30,101.24,100.61,0.1864,0.63
2016/8/31,101.29,100.7,0.1712,0.59
2016/9/1,101.325,100.77,0.183,0.555
2016/9/2,101.305,100.74,0.1833,0.565
2016/9/5,101.28,100.705,0.177,0.575
2016/9/6,101.25,100.62,0.19,0.63
2016/9/7,101.225,100.565,0.2122,0.66
2016/9/8,101.355,100.755,0.2014,0.6
2016/9/9,101.405,100.85,0.2046,0.555
2016/9/12,101.29,100.645,0.2134,0.645
2016/9/13,101.405,100.92,0.1922,0.485
2016/9/14,101.435,100.975,0.1871,0.46
2016/9/19,101.44,101.01,0.1906,0.43
2016/9/20,101.46,101.04,0.1751,0.42
2016/9/21,101.465,101.035,0.1808,0.43
2016/9/22,101.47,101.02,0.1817,0.45
2016/9/23,101.54,101.15,0.1789,0.39
2016/9/27,101.6,101.225,0.1608,0.375
2016/9/28,101.615,101.2,0.1635,0.415
2016/9/29,101.62,101.18,0.173,0.44
2016/9/30,101.625,101.19,0.1769,0.435
2016/10/10,101.795,101.535,0.1601,0.26
2016/10/11,101.77,101.435,0.1695,0.335
2016/10/12,101.71,101.305,0.1901,0.405
2016/10/13,101.785,101.41,0.1747,0.375
2016/10/14,101.81,101.47,0.2275,0.34
2016/10/17,101.88,101.53,0.221,0.35
2016/10/18,101.84,101.485,0.2334,0.355
2016/10/19,101.965,101.66,0.2313,0.305
2016/10/20,102.115,101.89,0.2247,0.225
2016/10/21,102.12,101.95,0.2395,0.17
2016/10/24,101.92,101.605,0.2471,0.315
2016/10/25,101.84,101.5,0.2769,0.34
2016/10/26,101.69,101.285,0.2644,0.405
2016/10/27,101.88,101.52,0.2608,0.36
2016/10/28,101.885,101.56,0.2615,0.325
2016/10/31,101.705,101.245,0.2907,0.46
2016/11/1,101.755,101.33,0.2856,0.425
2016/11/2,101.825,101.365,0.3005,0.46
2016/11/3,101.91,101.53,0.288,0.38
2016/11/4,101.905,101.535,0.2815,0.37
2016/11/7,101.77,101.295,0.2812,0.475
2016/11/8,101.77,101.24,0.2901,0.53
2016/11/9,101.76,100.415,0.2764,1.345
2016/11/10,101.045,100.085,0.3089,0.96
2016/11/11,100.895,99.87,0.2898,1.025
2016/11/14,100.765,99.67,0.27,1.095
2016/11/15,100.81,99.84,0.2478,0.97
2016/11/16,100.64,99.61,0.2471,1.03
2016/11/17,100.49,99.495,0.2417,0.995
2016/11/18,100.405,99.44,0.2319,0.965
2016/11/21,100.445,99.535,0.2157,0.91
2016/11/22,100.44,99.55,0.2097,0.89
2016/11/23,100.69,99.845,0.196,0.845
2016/11/24,100.645,99.695,0.2119,0.95
2016/11/25,100.57,99.58,0.2174,0.99
2016/11/28,100.62,99.595,0.1915,1.025
2016/11/29,100.2,98.93,0.181,1.27
2016/11/30,100.15,98.855,0.222,1.295
2016/12/1,99.785,98.185,0.2054,1.6
2016/12/2,99.77,98.255,0.2003,1.515
2016/12/5,99.615,97.98,0.2171,1.635
2016/12/6,99.395,97.58,0.2089,1.815
2016/12/7,99.47,97.755,0.1922,1.715
2016/12/8,99.5,97.805,0.2118,1.695
2016/12/9,99.47,97.705,0.244,1.765
2016/12/12,99.01,96.685,0.2415,2.325
2016/12/13,98.9,96.53,0.2629,2.37
2016/12/14,98.74,96.27,0.2529,2.47
2016/12/15,97.595,94.555,0.2409,3.04
2016/12/16,98.55,95.86,0.2242,2.69
2016/12/19,97.835,94.67,0.1833,3.165
2016/12/20,97.775,94.75,0.1833,3.025
2016/12/21,98.85,96.245,0.1441,2.605
2016/12/22,99.15,96.98,0.1233,2.17
2016/12/23,98.84,96.57,0.1756,2.27
2016/12/26,98.945,96.65,0.2129,2.295
2016/12/27,98.73,96.195,0.2301,2.535
2016/12/28,99.01,96.635,0.1949,2.375
2016/12/29,99.585,97.675,0.1897,1.91
2016/12/30,99.4,97.32,0.1575,2.08
2017/1/3,99.39,97.39,0.2177,2
2017/1/4,99.345,97.23,0.2484,2.115
2017/1/5,99.58,97.45,0.278,2.13
2017/1/6,99.435,97.24,0.2419,2.195
2017/1/9,99.57,97.635,0.2247,1.935
2017/1/10,99.55,97.59,0.2673,1.96
2017/1/11,99.41,97.27,0.2524,2.14
2017/1/12,99.46,97.355,0.2272,2.105
2017/1/13,99.58,97.495,0.257,2.085
2017/1/16,99.14,96.86,0.29,2.28
2017/1/17,99.075,96.6,0.2862,2.475
2017/1/18,99.1,95.24,0.307,3.86
2017/1/19,99.355,95.495,0.2869,3.86
2017/1/20,99.47,95.77,0.2821,3.7
2017/1/23,99.425,95.705,0.2861,3.72
2017/1/24,98.09,94.895,0.3107,3.195
2017/1/25,98.015,94.6,0.3188,3.415
2017/1/26,97.88,94.27,0.309,3.61
2017/2/3,97.47,93.495,0.3423,3.975
2017/2/6,97.4,93.365,0.3838,4.035
2017/2/7,97.605,93.68,0.3763,3.925
2017/2/8,97.94,94.18,0.3487,3.76
2017/2/9,98.115,94.55,0.3502,3.565
2017/2/10,98.02,94.355,0.3826,3.665
2017/2/13,98.275,94.75,0.3846,3.525
2017/2/14,98.165,94.495,0.3661,3.67
2017/2/15,98.115,94.305,0.3496,3.81
2017/2/16,98.6,95.145,0.2882,3.455
2017/2/17,98.57,95.12,0.2885,3.45
2017/2/20,98.785,95.625,0.2846,3.16
2017/2/21,98.495,95.06,0.2923,3.435
2017/2/22,98.83,95.62,0.2758,3.21
2017/2/23,98.84,95.61,0.2678,3.23
2017/2/24,98.795,95.655,0.284,3.14
2017/2/27,98.72,95.565,0.3055,3.155
2017/2/28,98.905,95.83,0.2922,3.075
2017/3/1,98.535,95.175,0.3062,3.36
2017/3/2,98.485,95.115,0.3033,3.37
2017/3/3,98.425,94.975,0.3182,3.45
2017/3/6,98.35,94.935,0.3211,3.415
2017/3/7,98.49,95.155,0.3256,3.335
2017/3/8,98.14,94.675,0.3349,3.465
2017/3/9,98.05,94.55,0.3135,3.5
2017/3/10,98.115,94.685,0.2649,3.43
2017/3/13,98.505,95.48,0.2488,3.025
2017/3/14,98.61,95.55,0.2455,3.06
2017/3/15,98.605,95.67,0.2324,2.935
2017/3/16,98.89,96.355,0.2087,2.535
2017/3/17,98.82,96.28,0.1989,2.54
