,open,close,high,low,volume,money
2007-04-23,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-24,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-25,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-26,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-27,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-30,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-08,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-09,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-10,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-11,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-14,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-15,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-16,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-17,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-18,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-21,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-22,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-23,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-24,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-25,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-28,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-29,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-30,5.07,5.07,5.07,5.07,0.0,0.0
2007-05-31,5.07,5.07,5.07,5.07,0.0,0.0
2007-06-01,5.07,5.07,5.07,5.07,0.0,0.0
2007-06-04,5.07,5.07,5.07,5.07,0.0,0.0
2007-06-05,5.07,5.07,5.07,5.07,0.0,0.0
2007-06-06,5.07,5.07,5.07,5.07,0.0,0.0
2007-06-07,5.57,5.57,5.57,5.57,1814162.0,10110662.0
2007-06-08,6.13,6.13,6.13,6.13,389382.0,2387106.0
2007-06-11,6.74,6.74,6.74,6.74,300707.0,2027833.0
2007-06-12,7.42,7.42,7.42,7.42,3682968.0,27317252.0
2007-06-13,8.16,8.16,8.16,7.68,22008467.0,178695860.0
2007-06-14,8.31,8.28,8.77,7.95,34593534.0,292745551.0
2007-06-15,8.06,8.21,8.6,8.04,18416790.0,153285946.0
2007-06-18,8.54,8.23,8.6,8.06,17763621.0,146964092.0
2007-06-19,8.16,7.95,8.36,7.94,12001188.0,96714743.0
2007-06-20,7.71,8.11,8.36,7.71,14762301.0,119373542.0
2007-06-21,8.17,8.92,8.92,8.14,15452906.0,132176553.0
2007-06-22,9.82,9.22,9.82,8.84,47849713.0,459471625.0
2007-06-25,9.22,9.22,9.22,9.22,0.0,0.0
2007-06-26,9.22,9.22,9.22,9.22,0.0,0.0
2007-06-27,9.22,9.22,9.22,9.22,0.0,0.0
2007-06-28,9.22,9.22,9.22,9.22,0.0,0.0
2007-06-29,9.22,9.22,9.22,9.22,0.0,0.0
2007-07-02,9.22,9.22,9.22,9.22,0.0,0.0
2007-07-03,8.31,8.29,8.31,8.29,2590045.0,21491450.0
2007-07-04,7.47,7.47,7.47,7.47,1852980.0,13833690.0
2007-07-05,6.72,7.0,8.19,6.72,28232089.0,201341708.0
2007-07-06,7.0,7.0,7.39,6.32,18320369.0,125387331.0
2007-07-09,7.01,7.0,7.24,6.66,12823952.0,90033151.0
2007-07-10,7.0,7.6,7.7,6.88,20632929.0,154924071.0
2007-07-11,7.39,7.3,7.62,7.1,11405156.0,83541448.0
2007-07-12,7.34,7.18,7.46,7.1,6963362.0,50346789.0
2007-07-13,7.18,6.75,7.21,6.66,9865998.0,68014818.0
2007-07-16,6.66,6.08,6.76,6.08,13279319.0,83512952.0
2007-07-17,5.72,6.08,6.24,5.47,23302293.0,133022056.0
2007-07-18,5.83,5.71,5.97,5.67,14466188.0,83908401.0
2007-07-19,5.57,5.75,6.06,5.57,7544326.0,43828448.0
2007-07-20,5.69,6.32,6.32,5.69,14974271.0,92211642.0
2007-07-23,6.33,6.96,6.96,6.33,13868699.0,95170061.0
2007-07-24,7.31,7.02,7.36,6.96,16633922.0,119204463.0
2007-07-25,7.15,7.25,7.31,6.98,8857053.0,63663810.0
2007-07-26,7.39,7.97,7.97,7.33,19254910.0,150737056.0
2007-07-27,8.01,8.24,8.72,7.54,19555217.0,161218705.0
2007-07-30,8.25,8.2,8.6,8.08,14110882.0,116767053.0
2007-07-31,8.01,8.04,8.36,7.84,11781476.0,94237651.0
2007-08-01,8.04,7.54,8.37,7.47,12138457.0,96134295.0
2007-08-02,7.54,7.86,7.97,7.51,10404786.0,80827141.0
2007-08-03,7.89,8.49,8.62,7.89,23865062.0,201893655.0
2007-08-06,8.46,9.32,9.33,8.41,19322724.0,177272504.0
2007-08-07,9.69,9.1,9.74,8.99,18692314.0,173491474.0
2007-08-08,9.16,9.21,9.52,8.98,13402189.0,123819366.0
2007-08-09,9.21,9.86,10.02,9.21,16382185.0,158691932.0
2007-08-10,9.87,9.43,9.97,9.3,13930718.0,133322099.0
2007-08-13,9.57,8.48,9.9,8.48,21990560.0,198294123.0
2007-08-14,8.33,9.11,9.14,8.12,15189324.0,132408243.0
2007-08-15,9.2,9.2,9.57,8.84,11890897.0,109310285.0
2007-08-16,9.19,9.02,9.2,8.82,7050229.0,63358806.0
2007-08-17,8.95,9.85,9.92,8.94,24177663.0,230412985.0
2007-08-20,10.01,9.72,10.33,9.45,25229841.0,252120781.0
2007-08-21,10.18,10.07,10.41,9.69,35875069.0,360460554.0
2007-08-22,9.81,9.79,10.07,9.55,28160347.0,275391389.0
2007-08-23,9.79,9.86,10.05,9.54,16814586.0,164502981.0
2007-08-24,9.86,9.56,9.89,9.54,13774040.0,132775935.0
2007-08-27,9.56,9.21,9.58,8.84,19929828.0,184804847.0
2007-08-28,9.18,9.23,9.69,8.97,11236188.0,105276224.0
2007-08-29,9.13,9.04,9.33,8.97,8171574.0,74494494.0
2007-08-30,9.09,9.25,9.3,9.04,8661421.0,79583175.0
2007-08-31,9.45,9.71,9.91,9.26,13453615.0,129625039.0
2007-09-03,9.89,9.51,9.97,9.5,10354781.0,99622163.0
2007-09-04,9.52,9.37,9.69,9.28,8269605.0,78115948.0
2007-09-05,9.54,9.57,9.81,9.39,10310503.0,98967815.0
2007-09-06,9.57,9.57,9.57,9.57,0.0,0.0
2007-09-07,9.57,8.83,9.86,8.8,19948783.0,182461615.0
2007-09-10,8.73,8.83,8.92,8.02,13989757.0,117543710.0
2007-09-11,8.89,7.95,8.89,7.95,15830464.0,132424284.0
2007-09-12,7.88,8.08,8.19,7.51,12219229.0,95773206.0
2007-09-13,8.05,8.19,8.19,7.88,6865376.0,55152468.0
